Epoch,Train Accuracy,Validation Accuracy
1,0.8240666389465332,0.8467000126838684
2,0.864983320236206,0.8481000065803528
3,0.8756166696548462,0.8666999936103821
4,0.882183313369751,0.8657000064849854
5,0.8902833461761475,0.871999979019165
6,0.8964666724205017,0.8779000043869019
7,0.900600016117096,0.8765000104904175
8,0.9042333364486694,0.8820000290870667
9,0.9071666598320007,0.8755000233650208
10,0.9105333089828491,0.8833000063896179
